"temperature","Date"
20.2166359184217,"01-06-2022"
13.1110869361833,"02-06-2022"
11.7380603158521,"03-06-2022"
15.5958470292832,"04-06-2022"
17.6549400210381,"05-06-2022"
17.0869686708972,"06-06-2022"
15.4557344700443,"07-06-2022"
11.0209961707518,"08-06-2022"
18.0178753602668,"09-06-2022"
16.2540289093228,"10-06-2022"
12.4914367678575,"11-06-2022"
13.5529478034982,"12-06-2022"
19.8285395988822,"13-06-2022"
23.3198061453039,"14-06-2022"
14.7690424304898,"15-06-2022"
13.5584052355355,"16-06-2022"
11.9182995629404,"17-06-2022"
10.9663543908857,"18-06-2022"
14.5253870802373,"19-06-2022"
11.5859100524336,"20-06-2022"
15.4344863437163,"21-06-2022"
11.6297713149153,"22-06-2022"
14.0236938977265,"23-06-2022"
13.1808530385699,"24-06-2022"
11.2633330232184,"25-06-2022"
15.1655913062487,"26-06-2022"
16.2869155377173,"27-06-2022"
16.5756537086866,"28-06-2022"
11.4858630366297,"29-06-2022"
